time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1770937313.7389622,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7391148,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7391622,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7391992,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.739235,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.739269,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.739303,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7393367,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7393699,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.739404,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7394376,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7394722,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7395058,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7395387,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7395766,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7396564,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.73969,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.739723,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.739756,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7397888,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7398207,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7398536,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7398858,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.739919,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7399511,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7399838,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.740017,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7400498,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7400823,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7401142,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7401466,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7401793,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7402132,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.740246,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.740278,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7403102,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7403424,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7403755,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7404075,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.74044,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7404718,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7405097,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7405424,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7405796,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7406123,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7406454,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7406776,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.740711,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7407434,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.740804,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7408376,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7408705,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.740903,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7409363,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7409692,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7410018,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7410345,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.741068,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.741103,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7411358,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7411687,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7412033,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.741236,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7412686,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7413013,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.741334,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7413669,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7413995,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7414324,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.741465,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7414975,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7415302,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7415628,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7415957,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7416284,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7416615,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7416942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7417278,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7417607,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7417936,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7418265,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7418594,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7418923,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.741925,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7419581,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7419922,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7420251,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7420583,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7420945,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7421277,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7421608,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7421975,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7422304,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7422638,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.742297,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7423315,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7423646,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7423987,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7424324,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7424836,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.742518,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.742552,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7425857,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7426193,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.742653,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7426865,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.74272,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7427537,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7427878,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.742822,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7428553,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.7428892,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.742923,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
1770937313.742957,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Material_Metal_raw_7
