time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1770940338.040078,-0.18,0.0,-0.0,0.18,180000.0,0.0,183100.0,4624.932431938871,0.0,0.004624932431938875,Material_Silicone_raw_9
1770940338.0402334,-0.18,0.0,-0.0,0.18,180000.0,0.0,183000.0,4582.57569495584,0.0,0.004582575694955843,Material_Silicone_raw_9
1770940338.04029,-0.18,0.0,-0.0,0.18,180000.0,0.0,182900.0,4537.620521815371,0.0,0.004537620521815376,Material_Silicone_raw_9
1770940338.040334,-0.18,0.0,-0.0,0.18,180000.0,0.0,182800.0,4489.98886412873,0.0,0.004489988864128733,Material_Silicone_raw_9
1770940338.040376,-0.18,0.0,-0.0,0.18,180000.0,0.0,182700.0,4439.5945760846225,0.0,0.004439594576084627,Material_Silicone_raw_9
1770940338.0406098,-0.18,0.0,-0.0,0.18,180000.0,0.0,182600.0,4386.342439892262,0.0,0.004386342439892265,Material_Silicone_raw_9
1770940338.040666,-0.18,0.0,-0.0,0.18,180000.0,0.0,182500.0,4330.127018922193,0.0,0.004330127018922198,Material_Silicone_raw_9
1770940338.0407045,-0.18,0.0,-0.0,0.18,180000.0,0.0,182400.0,4270.831300812524,0.0,0.004270831300812527,Material_Silicone_raw_9
1770940338.0407503,-0.18,0.0,-0.0,0.18,180000.0,0.0,182300.0,4208.325082500162,0.0,0.004208325082500167,Material_Silicone_raw_9
1770940338.0407863,-0.18,0.0,-0.0,0.18,180000.0,0.0,182200.0,4142.463035441596,0.0,0.004142463035441601,Material_Silicone_raw_9
1770940338.0408208,-0.18,0.0,-0.0,0.18,180000.0,0.0,182100.0,4073.0823708832604,0.0,0.004073082370883265,Material_Silicone_raw_9
1770940338.0408566,-0.18,0.0,-0.0,0.18,180000.0,0.0,182000.0,4000.0,0.0,0.004000000000000004,Material_Silicone_raw_9
1770940338.040891,-0.18,0.0,-0.0,0.18,180000.0,0.0,181900.0,3923.0090491866063,0.0,0.00392300904918661,Material_Silicone_raw_9
1770940338.0409248,-0.18,0.0,-0.0,0.18,180000.0,0.0,181800.0,3841.874542459709,0.0,0.0038418745424597133,Material_Silicone_raw_9
1770940338.040959,-0.18,0.0,-0.0,0.18,180000.0,0.0,181700.0,3756.3279941985897,0.0,0.0037563279941985922,Material_Silicone_raw_9
1770940338.040993,-0.18,0.0,-0.0,0.18,180000.0,0.0,181600.0,3666.060555964672,0.0,0.0036660605559646745,Material_Silicone_raw_9
1770940338.0410264,-0.18,0.0,-0.0,0.18,180000.0,0.0,181500.0,3570.714214271425,0.0,0.003570714214271428,Material_Silicone_raw_9
1770940338.0410604,-0.18,0.0,-0.0,0.18,180000.0,0.0,181400.0,3469.8703145794943,0.0,0.0034698703145794978,Material_Silicone_raw_9
1770940338.0410938,-0.18,0.0,-0.0,0.18,180000.0,0.0,181300.0,3363.0343441600476,0.0,0.0033630343441600503,Material_Silicone_raw_9
1770940338.0411274,-0.18,0.0,-0.0,0.18,180000.0,0.0,181200.0,3249.615361854384,0.0,0.0032496153618543876,Material_Silicone_raw_9
1770940338.041161,-0.18,0.0,-0.0,0.18,180000.0,0.0,181100.0,3128.897569432403,0.0,0.003128897569432406,Material_Silicone_raw_9
1770940338.0411947,-0.18,0.0,-0.0,0.18,180000.0,0.0,181000.0,3000.0,0.0,0.0030000000000000027,Material_Silicone_raw_9
1770940338.0412278,-0.18,0.0,-0.0,0.18,180000.0,0.0,180900.0,2861.817604250837,0.0,0.00286181760425084,Material_Silicone_raw_9
1770940338.041262,-0.18,0.0,-0.0,0.18,180000.0,0.0,180800.0,2712.931993250107,0.0,0.0027129319932501107,Material_Silicone_raw_9
1770940338.0412953,-0.18,0.0,-0.0,0.18,180000.0,0.0,180700.0,2551.4701644346146,0.0,0.0025514701644346175,Material_Silicone_raw_9
1770940338.0413291,-0.18,0.0,-0.0,0.18,180000.0,0.0,180600.0,2374.8684174075834,0.0,0.0023748684174075842,Material_Silicone_raw_9
1770940338.0413635,-0.18,0.0,-0.0,0.18,180000.0,0.0,180500.0,2179.449471770337,0.0,0.0021794494717703393,Material_Silicone_raw_9
1770940338.0413973,-0.18,0.0,-0.0,0.18,180000.0,0.0,180400.0,1959.5917942265426,0.0,0.001959591794226545,Material_Silicone_raw_9
1770940338.0414305,-0.18,0.0,-0.0,0.18,180000.0,0.0,180300.0,1705.872210923198,0.0,0.0017058722109232,Material_Silicone_raw_9
1770940338.041464,-0.18,0.0,-0.0,0.18,180000.0,0.0,180200.0,1400.0,0.0,0.001400000000000001,Material_Silicone_raw_9
1770940338.0414977,-0.18,0.0,-0.0,0.18,180000.0,0.0,180100.0,994.98743710662,0.0,0.0009949874371066208,Material_Silicone_raw_9
1770940338.0415306,-0.18,0.0,-0.0,0.18,180000.0,0.0,180000.0,0.0,0.0,2.7755575615628914e-17,Material_Silicone_raw_9
1770940338.0415957,-0.18,0.0,-0.0,0.18,180000.0,0.0,180000.0,0.0,0.0,2.7755575615628914e-17,Material_Silicone_raw_9
1770940338.0416317,-0.18,0.0,-0.0,0.18,180000.0,0.0,180000.0,0.0,0.0,2.7755575615628914e-17,Material_Silicone_raw_9
1770940338.041665,-0.18,0.0,-0.0,0.18,180000.0,0.0,180000.0,0.0,0.0,2.7755575615628914e-17,Material_Silicone_raw_9
1770940338.0416975,-0.18,0.0,-0.0,0.18,180000.0,0.0,180000.0,0.0,0.0,2.7755575615628914e-17,Material_Silicone_raw_9
1770940338.041735,-0.18,0.0,-0.0,0.18,180000.0,0.0,180000.0,0.0,0.0,2.7755575615628914e-17,Material_Silicone_raw_9
1770940338.041768,-0.18,0.0,-0.0,0.18,180000.0,0.0,180000.0,0.0,0.0,2.7755575615628914e-17,Material_Silicone_raw_9
1770940338.0418015,-0.18,0.0,-0.0,0.18,180000.0,0.0,180000.0,0.0,0.0,2.7755575615628914e-17,Material_Silicone_raw_9
1770940338.0418346,-0.18,0.0,-0.0,0.18,180000.0,0.0,180000.0,0.0,0.0,2.7755575615628914e-17,Material_Silicone_raw_9
1770940338.0418675,-0.18,0.0,-0.0,0.18,180000.0,0.0,180000.0,0.0,0.0,2.7755575615628914e-17,Material_Silicone_raw_9
1770940338.0419004,-0.18,0.0,-0.0,0.18,180000.0,0.0,180000.0,0.0,0.0,2.7755575615628914e-17,Material_Silicone_raw_9
