k_eff,Fz_peak,mu_mean,mu_std,slip,micro,Fz_mean,Fz_std,Ft_mean,Ft_std,material
18.396002133416296,3.05,3.3854619749962485,1.6570423570207033,279.6202666666731,4.490919848572112,2.5929310344827585,0.26502729931403,8.903562132937601,4.490919848572112,Material_EPEfoam_raw
21.76451395466057,3.76,2.461067785450117,1.8316375956500757,277.76847682118614,5.699947468589754,2.894800161485668,0.3814532619729663,7.446839428008402,5.699947468589754,Material_EPEfoam_raw
24.728249572487883,2.73,2.979320052727475,1.9867054355119427,275.9410526315853,4.855111677812985,2.5025174825174825,0.14653023522202416,7.489478222147382,4.855111677812985,Material_EPEfoam_raw
20.299897769289384,2.66,3.242049384077327,2.3966113645676956,275.9410526315853,5.640690971994057,2.415153024911032,0.12009691252618955,7.806309033860383,5.640690971994057,Material_EPEfoam_raw
20.971475280028333,2.8,3.438353937156206,2.0930532543589377,274.13751633986345,5.27131719492345,2.504704176334106,0.15833594701497508,8.696313261057739,5.27131719492345,Material_EPEfoam_raw
20.24531120733357,3.38,2.6877559161515756,2.1223667662730734,270.6002580645224,5.801383765365347,2.702205942205942,0.32233228960492794,7.352348994950168,5.801383765365347,Material_EPEfoam_raw
21.475839650206304,2.83,3.3144826141331185,2.2054151408683884,275.9410526315853,5.376681064634841,2.4856687116564413,0.17245292965739933,8.24977924555335,5.376681064634841,Material_EPEfoam_raw
15.90471602622216,3.09,3.483638986876094,1.7893378616068711,272.3574025974089,5.018083181414935,2.6762745098039216,0.2768011304544079,9.501916236464764,5.018083181414935,Material_EPEfoam_raw
25.717416896445478,2.7,3.789909910742756,2.1589160315566223,277.7684768211985,5.130525926975766,2.471512108682812,0.13377372658433306,9.312117273058545,5.130525926975766,Material_EPEfoam_raw
31.38309950339177,2.74,3.8792627813762075,2.6524687712906774,272.3574025973968,6.235601411570884,2.502327974276527,0.16722084812313884,9.611272855568215,6.235601411570884,Material_EPEfoam_raw
16.891476266304032,3.52,2.8264447311177308,2.087619952151249,274.13751633986345,6.542299833958914,2.840587774294671,0.33042892611124963,8.456209618001692,6.542299833958914,Material_EPEfoam_raw
