time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material,dFz_dt
1770940284.4957826,-1.09,0.65,2.23,1.2690941651429968,0.5691002672837352,2.2299999999999995,342.01286282374264,1970.5399302553044,4.999999999999982,0.3759251256483709,Material_Silicone_raw_8,0.0
1770940284.4959044,-1.1,0.68,2.28,1.293213052826177,0.5671984586086484,2.28,342.0185348083287,1970.5389466164272,4.999999999999982,0.382193262675793,Material_Silicone_raw_8,410.4015655577285
1770940284.4959872,-1.11,0.7,2.32,1.3122880781291888,0.5656411691758705,2.32,342.0241912200205,1970.5379656592272,4.999999999999982,0.388332556954846,Material_Silicone_raw_8,483.49325648415027
1770940284.496062,-1.12,0.72,2.36,1.3314653581674591,0.5641799974523143,2.36,342.029833019995,1970.536987217296,4.999999999999982,0.3943413765830969,Material_Silicone_raw_8,534.3062420382171
1770940284.4961443,-1.14,0.74,2.41,1.3591173606425606,0.5639488782961337,2.41,242.03547250877796,1715.0566340196874,5.000000000000027,0.4005205925812934,Material_Silicone_raw_8,607.8701449275395
1770940284.5030408,-1.15,0.77,2.45,1.3839797686382558,0.5648894709178713,2.45,142.04112140348718,1407.062454501906,5.000000000000027,0.4066771937052214,Material_Silicone_raw_8,5.800047016524931
1770940284.514058,-1.16,0.79,2.5,1.4034600101178516,0.5613837794936288,2.5,0.625379003972592,0.2075839755337733,5.000000000000027,0.4127416766317746,Material_Silicone_raw_8,4.538307725600503
1770940284.5250025,-1.17,0.81,2.54,1.4230249470757708,0.5602458215865941,2.53,0.6168407406368822,0.1919381655763972,5.000000000000027,0.4186602884803133,Material_Silicone_raw_8,3.6548483792262143
1770940284.6393902,-1.18,0.84,2.59,1.4484474446799924,0.5592459017120042,2.58,0.6000747557233974,0.101885251846435,5.000000000000027,0.4246560130021607,Material_Silicone_raw_8,0.43710974056697016
1770940284.6394973,-1.19,0.86,2.63,1.4682302271782854,0.5582622315270167,2.61,0.5944775971402136,0.0876613974133199,5.000000000000027,0.4304996500377094,Material_Silicone_raw_8,373.65737193763954
1770940284.6395464,-1.2,0.88,2.68,1.488086019019062,0.5552557700609297,2.65,0.589489580659401,0.0745847684619015,5.000000000000027,0.4363085596161122,Material_Silicone_raw_8,1018.0349514563161
1770940284.639614,-1.21,0.9,2.73,1.5080119362922828,0.5523851223103152,2.7,0.5844728577010823,0.0582516508721804,5.000000000000027,0.4419620317461185,Material_Silicone_raw_8,738.4338028168988
1770940284.639685,-1.21,0.93,2.77,1.5261061562027722,0.550940651719177,2.73,0.5820767677052658,0.0545351374972413,5.000000000000027,0.4474181400533084,Material_Silicone_raw_8,564.8894276094281
1770940284.6397495,-1.22,0.95,2.82,1.5462535367784935,0.5483166625751174,2.77,0.5793138880007084,0.04888402100862,5.000000000000027,0.4528423167296878,Material_Silicone_raw_8,773.8568265682629
1770940284.6398597,-1.23,0.97,2.87,1.5664609794054878,0.5458050291290796,2.81,0.5773185025909282,0.0460568760323901,5.000000000000027,0.458152375703958,Material_Silicone_raw_8,453.9290043290068
1770940284.639928,-1.24,1.0,2.91,1.5929846201391902,0.5474172071209563,2.84,0.5750996919802696,0.0419129011172252,5.000000000000027,0.4635450126611967,Material_Silicone_raw_8,584.5719860627183
1770940284.6399944,-1.25,1.02,2.96,1.6133505508723145,0.5450506776424447,2.88,0.5726446034262147,0.0359925523094955,5.000000000000027,0.4688946949103959,Material_Silicone_raw_8,754.37122302158
1770940284.6400576,-1.26,1.04,3.01,1.633768649472746,0.5427801018912439,2.92,0.5710451988359265,0.0336545251645037,5.000000000000027,0.4740746416481274,Material_Silicone_raw_8,791.3781132075444
1770940284.6455607,-1.26,1.06,3.05,1.6465721970202218,0.5398595597248073,2.95,0.569163757344265,0.0298739509278969,5.000000000000027,0.4790599539878447,Material_Silicone_raw_8,7.268527857204755
1770940284.656567,-1.27,1.08,3.1,1.6671232707871366,0.5377815267760031,2.99,0.5670450850789704,0.0239178652508528,5.000000000000027,0.4840054216264353,Material_Silicone_raw_8,4.5428299107529915
1770940284.6674838,-1.28,1.1,3.15,1.6877203559831826,0.5357840699044802,3.02,0.5660597351477622,0.0231432062014141,5.000000000000027,0.488778615267172,Material_Silicone_raw_8,4.580134533065416
1770940284.8007767,-1.29,1.12,3.19,1.708361788380904,0.5355364428979501,3.05,0.5648297577168315,0.0213985191522831,5.000000000000027,0.4935074917829365,Material_Silicone_raw_8,0.30009097234519433
1770940284.8008614,-1.29,1.13,3.24,1.7149344010777787,0.5293005777090126,3.09,0.563324116133447,0.0183281867422285,5.000000000000027,0.497924210139967,Material_Silicone_raw_8,590.7470422535242
1770940284.80093,-1.3,1.15,3.29,1.7356554957709782,0.5275547015854943,3.12,0.5626008519498469,0.0182983519223073,5.000000000000027,0.5021670730600314,Material_Silicone_raw_8,728.1777777777752
1770940284.800999,-1.31,1.17,3.33,1.7564168070250297,0.527452336208016,3.15,0.5616641098814578,0.0176650449695025,5.000000000000027,0.5063667370106488,Material_Silicone_raw_8,580.5265051903119
1770940284.801063,-1.32,1.18,3.38,1.7705366418123067,0.5238272538417317,3.18,0.5608196503032374,0.017433671295957,5.000000000000027,0.5103978581068095,Material_Silicone_raw_8,779.6104089219303
1770940284.8011286,-1.33,1.19,3.42,1.7846568297574747,0.5218293298035511,3.21,0.5596848004904657,0.0161973120251812,5.000000000000027,0.5142888058493151,Material_Silicone_raw_8,610.0805818181824
1770940284.8011963,-1.34,1.21,3.47,1.80546392929906,0.52030645792294,3.25,0.5588234998785704,0.0159768703064639,5.000000000000027,0.5179985067849088,Material_Silicone_raw_8,738.4338028169053
1770940284.8012602,-1.35,1.22,3.52,1.819587865424476,0.5169282240046169,3.28,0.558027048199476,0.0160601260091906,5.000000000000027,0.5215371527616067,Material_Silicone_raw_8,782.5194029850718
1770940284.801322,-1.36,1.23,3.56,1.833712082089225,0.5150875188207039,3.31,0.5570591244465676,0.0156980098338623,5.000000000000027,0.5249064502462734,Material_Silicone_raw_8,647.7689575289581
1770940284.8013968,-1.37,1.24,3.61,1.8478365728602733,0.5118659448737751,3.34,0.5561486134121961,0.0156522594339546,5.000000000000027,0.5281078302224466,Material_Silicone_raw_8,667.8828025477683
1770940284.801517,-1.38,1.25,3.66,1.8619613314996637,0.5087324652369394,3.38,0.5554220943296859,0.0161424865068038,5.000000000000027,0.5310011331187686,Material_Silicone_raw_8,416.1015873015895
