time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material,dFz_dt
1770944751.1346211,-1.11,0.33,2.25,1.1580155439371271,0.514673346339458,2.24,0.6974020877341274,0.0988730906731841,5.000000000000027,0.3518191984042574,Material_Wood_raw_10,0.0
1770944751.1346889,-1.12,0.34,2.3,1.1704699910719625,0.5088997748574728,2.28,0.691311304584248,0.0912429718058781,5.000000000000027,0.354993728598541,Material_Wood_raw_10,738.4338028168988
1770944751.1347322,-1.13,0.35,2.35,1.1829623831720093,0.5033880339506278,2.33,0.6851654040253002,0.0825845863965746,5.000000000000027,0.3580025115263385,Material_Wood_raw_10,1152.2813186813248
1770944751.1347728,-1.14,0.36,2.4,1.1954915307102765,0.4981212635787553,2.369999999999999,0.6826933051798043,0.0844260538856966,5.000000000000027,0.3608426442686819,Material_Wood_raw_10,1233.6188235294073
1770944751.139838,-1.14,0.37,2.45,1.1985407794480754,0.4892001184685537,2.42,0.6770447321830682,0.0780457256157213,5.000000000000027,0.3634677648378872,Material_Wood_raw_10,9.871273240762585
1770944751.1508458,-1.15,0.39,2.5,1.21433109158911,0.4857322423427471,2.46,0.6739965580934876,0.079492231964223,5.000000000000027,0.3659847105985387,Material_Wood_raw_10,4.542239549490995
1770944751.161801,-1.16,0.4,2.55,1.2270289320142374,0.481187627775141,2.5,0.6724840055394788,0.0816774931332909,5.000000000000027,0.3683314022185355,Material_Wood_raw_10,4.563986942328602
1770944751.2525866,-1.17,0.41,2.6,1.239758040909596,0.4768298323383706,2.55,0.6690062575325538,0.0825258556766632,5.000000000000027,0.3706434059568863,Material_Wood_raw_10,0.5507487223660812
1770944751.2526624,-1.18,0.42,2.65,1.252517464948094,0.4726479216227065,2.59,0.6668610085682211,0.0847831379676809,5.000000000000027,0.3727812915590437,Material_Wood_raw_10,659.481761006287
1770944751.252705,-1.19,0.44,2.71,1.2687395319765205,0.4681693962387912,2.64,0.6642584929998984,0.086823353406743,6.000000000000005,0.3749457544060204,Material_Wood_raw_10,1405.9119553072637
1770944751.252745,-1.19,0.45,2.76,1.272242115322394,0.460957121146838,2.68,0.6621366923445968,0.0891421271045885,6.000000000000005,0.3768080679873274,Material_Wood_raw_10,1255.7796407185583
1770944751.2527835,-1.2,0.46,2.81,1.2851459061133876,0.4573471347922607,2.72,0.6596829580833188,0.0913412017538905,6.000000000000005,0.3786325803726261,Material_Wood_raw_10,1294.538271604945
1770944751.2528248,-1.21,0.48,2.86,1.3017296186228535,0.4551500571583204,2.76,0.6569544215659922,0.0933136112901934,6.000000000000005,0.3804851022072057,Material_Wood_raw_10,1212.2265895953715
1770944751.252863,-1.22,0.49,2.92,1.3147243057006286,0.4502478957029907,2.82,0.6541768634341125,0.0952707252459589,6.000000000000005,0.3821578055349856,Material_Wood_raw_10,1572.8640000000014
1770944751.2529008,-1.23,0.5,2.97,1.3277424449041313,0.4470511777282671,2.86,0.6511508876783406,0.0969804941153198,6.000000000000005,0.3837921370857698,Material_Wood_raw_10,1318.9635220125856
1770944751.2604845,-1.24,0.52,3.02,1.3446189051177289,0.4452379006224596,2.9,0.6476976384143799,0.0980965646822015,6.000000000000005,0.3854956006891208,Material_Wood_raw_10,6.593158953722311
1770944751.271448,-1.24,0.53,3.08,1.3485177047410242,0.4378302814645268,2.95,0.6447784335325422,0.0999376313356757,6.000000000000005,0.386854544608229,Material_Wood_raw_10,5.472734864300631
1770944751.2823796,-1.25,0.54,3.13,1.361653406708183,0.435032898298813,2.99,0.6416714539899406,0.1015671936283527,6.000000000000005,0.3881731253145589,Material_Wood_raw_10,4.573841355695606
1770944751.3848205,-1.26,0.55,3.18,1.3748090776540574,0.4323297626805957,3.0300000000000007,0.6383936327902113,0.1029713979486745,6.000000000000005,0.3894519247201221,Material_Wood_raw_10,0.4880866157125993
1770944751.384931,-1.27,0.57,3.24,1.3920488497175665,0.4296445740966025,3.08,0.6355640266621319,0.1047654058937312,6.000000000000005,0.3906106576299244,Material_Wood_raw_10,542.3668965517246
1770944751.3850026,-1.28,0.58,3.29,1.4052757736472938,0.4271353636814377,3.12,0.6323947707491944,0.106218902884666,6.000000000000005,0.3917688030497404,Material_Wood_raw_10,699.0506666666641
1770944751.3850715,-1.28,0.59,3.34,1.409432509913121,0.4219856550681036,3.16,0.6290582967746364,0.1075275150373539,6.000000000000005,0.3927267590134365,Material_Wood_raw_10,725.6581314878867
1770944751.3851323,-1.29,0.6,3.4,1.4227086841655252,0.4184436075652699,3.2100000000000004,0.625579499615432,0.1086518893437252,6.000000000000005,0.3936423003164331,Material_Wood_raw_10,986.8950588235302
1770944751.3851917,-1.3,0.61,3.45,1.4360013927569848,0.4162321671086427,3.25,0.6219797727486313,0.1095612071288205,6.000000000000005,0.3945153727135856,Material_Wood_raw_10,842.2297188755065
1770944751.3852496,-1.31,0.62,3.5,1.449310180741169,0.414088504757904,3.29,0.6187282288571766,0.1108502005730467,6.000000000000005,0.3951919444152126,Material_Wood_raw_10,863.0255144032891
1770944751.3853087,-1.32,0.63,3.55,1.4626346091898688,0.4120096330085171,3.33,0.6152287895423146,0.1117931648294198,6.000000000000005,0.3958649444670331,Material_Wood_raw_10,845.62580645161
1770944751.3853674,-1.33,0.64,3.6,1.4759742545180117,0.4099927345903547,3.36,0.6119453955076115,0.112945141836862,6.000000000000005,0.3964891619050304,Material_Wood_raw_10,852.5008130081346
1770944751.3921025,-1.34,0.65,3.66,1.4893287078412207,0.4069203007980655,3.41,0.6085420117290317,0.1139398002984341,6.000000000000005,0.3970642762420978,Material_Wood_raw_10,8.908571630854198
1770944751.4031096,-1.35,0.65,3.71,1.4983324063771697,0.4038630734539343,3.45,0.6053954617557008,0.1151970687881742,6.000000000000005,0.3973598227442283,Material_Wood_raw_10,4.542534710940699
1770944751.41401,-1.36,0.66,3.76,1.5116877984557529,0.4020445203221363,3.49,0.6021393106854311,0.1162918437790526,6.000000000000005,0.3976020919999971,Material_Wood_raw_10,4.586946631671025
1770944751.5079525,-1.37,0.67,3.81,1.5250573759698354,0.4002774214415784,3.53,0.5986847497411079,0.117103151980924,6.000000000000005,0.3978343488155937,Material_Wood_raw_10,0.5322410113115252
