time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material,dFz_dt
1770944290.8396726,-1.38,0.1,2.24,1.383618444514238,0.6176865298337982,2.18,0.6898277769340233,0.0405833854359221,4.000000000000004,0.3896766598426263,Material_Wood_raw_5,0.0
1770944290.8440998,-1.4,0.1,2.28,1.40356688476182,0.6155992408607803,2.2099999999999995,0.6879026644305692,0.0394777895279046,4.000000000000004,0.3941573707521126,Material_Wood_raw_5,9.03506704722916
1770944290.8550603,-1.41,0.11,2.33,1.414284271283535,0.606988697122248,2.25,0.686901571977169,0.0402402757691577,5.000000000000027,0.3983445735112564,Material_Wood_raw_5,4.561802836509203
1770944290.9556031,-1.43,0.12,2.37,1.4350261321662403,0.6054960028144462,2.2900000000000005,0.684952726756088,0.0394078131285334,5.000000000000027,0.402544158031492,Material_Wood_raw_5,0.39784058599928424
1770944290.9556837,-1.45,0.13,2.41,1.4558159224297555,0.6040727462062279,2.3200000000000003,0.6831367995011299,0.0389058258667015,5.000000000000027,0.4067413726140861,Material_Wood_raw_5,496.36733727810696
1770944290.9557266,-1.47,0.14,2.46,1.476651617681029,0.6002646412261738,2.36,0.6806542493911185,0.0360924271521645,5.000000000000027,0.411037754896093,Material_Wood_raw_5,1165.0844444444404
1770944290.9557655,-1.48,0.15,2.5,1.48758193051677,0.5950325341936943,2.39,0.6788907527003115,0.0359242055184364,5.000000000000027,0.4150354762812312,Material_Wood_raw_5,1029.277055214725
1770944290.955804,-1.5,0.16,2.55,1.5085091978506462,0.5915720024622132,2.4299999999999997,0.6771235830346037,0.0358294694923081,5.000000000000027,0.4190345626629685,Material_Wood_raw_5,1294.5382716049337
1770944290.9558418,-1.52,0.17,2.59,1.529477034806342,0.5905314456659831,2.4599999999999995,0.6754139599626202,0.0358416908086331,5.000000000000027,0.4230234367737353,Material_Wood_raw_5,1061.8491139240516
1770944290.9558828,-1.53,0.18,2.64,1.540551849176132,0.5835421460734795,2.5,0.6736564743635951,0.0359942948402347,5.000000000000027,0.4268129560678643,Material_Wood_raw_5,1219.2744186046577
1770944290.955922,-1.55,0.19,2.69,1.5616017418023074,0.5805208777997879,2.54,0.67191926109175,0.0362542845022507,5.000000000000027,0.4305903487660513,Material_Wood_raw_5,1278.7512195121906
1770944290.9559605,-1.57,0.2,2.73,1.5826875876179731,0.5797388307249607,2.57,0.6701906998244394,0.0364865983383314,5.000000000000027,0.4343579284726329,Material_Wood_raw_5,1035.6306172839516
1770944290.9647484,-1.58,0.21,2.78,1.5938946012832844,0.5733431755180248,2.6,0.6688095886188217,0.0374984263139671,5.000000000000027,0.4379276845727794,Material_Wood_raw_5,5.689660598496955
1770944291.0690637,-1.6,0.22,2.83,1.6150541786577937,0.5706903208365628,2.6399999999999992,0.66743567433303,0.0385369331489158,5.000000000000027,0.441473220857048,Material_Wood_raw_5,0.4793161611775218
1770944291.0691462,-1.61,0.23,2.88,1.6263455967290594,0.5647031361201122,2.68,0.6659764060239536,0.0396213077445563,5.000000000000027,0.4448196975384819,Material_Wood_raw_5,606.1132947976857
1770944291.0692525,-1.63,0.24,2.93,1.647573974060042,0.5623117446239921,2.72,0.6641612258659851,0.0401672169898065,5.000000000000027,0.4482494761475469,Material_Wood_raw_5,470.2134529148007
1770944291.069319,-1.64,0.25,2.98,1.6589454481688055,0.5566929166026473,2.75,0.6625972210504827,0.0412614833683342,5.000000000000027,0.4514844615210171,Material_Wood_raw_5,751.6673835125422
1770944291.069362,-1.65,0.26,3.03,1.670359242797788,0.5512734955525718,2.79,0.6609413814858667,0.0423586614169592,5.000000000000027,0.4545308972312735,Material_Wood_raw_5,1165.0844444444404
1770944291.069436,-1.67,0.27,3.08,1.691685549976709,0.5492483768598481,2.83,0.6593120962156354,0.0434753276217169,5.000000000000027,0.4575416781043548,Material_Wood_raw_5,674.325401929264
1770944291.0695305,-1.68,0.28,3.13,1.7031735084835014,0.5441447170411451,2.86,0.6578642817767424,0.0448539102992819,5.000000000000027,0.4603608920682789,Material_Wood_raw_5,529.5838383838365
1770944291.069595,-1.7,0.29,3.18,1.7245579143653018,0.5423136390099568,2.9,0.6561445865340977,0.0459413161103613,5.000000000000027,0.4632581269836946,Material_Wood_raw_5,773.8568265682698
1770944291.069648,-1.71,0.3,3.23,1.7361163555476342,0.5374971572911693,2.94,0.6543441855921958,0.0470153657219299,5.000000000000027,0.4659655178728729,Material_Wood_raw_5,944.6630630630597
1770944291.0743637,-1.73,0.31,3.28,1.7575551200460258,0.5358398122579919,2.98,0.6523014072816388,0.0476773916572528,5.000000000000027,0.468748275581732,Material_Wood_raw_5,10.602922291319038
1770944291.0853584,-1.74,0.32,3.33,1.7691806012954132,0.5312853063093413,3.01,0.6504199925560558,0.0486927588631945,5.000000000000027,0.4713422631683033,Material_Wood_raw_5,4.547656944595058
1770944291.096303,-1.75,0.33,3.38,1.7808424972467387,0.5268763225947977,3.05,0.648712495447507,0.0499841524909643,5.000000000000027,0.4736267983872135,Material_Wood_raw_5,4.568460951966
1770944291.1888287,-1.77,0.34,3.43,1.8023595645708437,0.5254691076098355,3.08,0.6469920318150567,0.0512203819538701,5.000000000000027,0.4759825715922561,Material_Wood_raw_5,0.5403902793489017
1770944291.1889095,-1.78,0.35,3.48,1.8140837907880665,0.5212882958332673,3.12,0.6451941401010279,0.0524314510769621,5.000000000000027,0.4781487907680294,Material_Wood_raw_5,618.6289085545701
1770944291.188954,-1.8,0.36,3.54,1.8356470248934025,0.518544210833105,3.17,0.6431831006021771,0.0533852115865906,6.000000000000005,0.4803833626115115,Material_Wood_raw_5,1345.765989304814
1770944291.1889951,-1.81,0.37,3.59,1.8474306482247176,0.5146044940446305,3.2,0.6412883788688221,0.0545402160024287,6.000000000000005,0.482428014959315,Material_Wood_raw_5,1219.2744186046468
1770944291.189034,-1.82,0.38,3.64,1.859247159470736,0.5107820463430466,3.2400000000000007,0.639185114809036,0.0554690727245327,6.000000000000005,0.4843679133391244,Material_Wood_raw_5,1286.5963190184118
1770944291.1890728,-1.84,0.39,3.69,1.8808774548066656,0.5097227493452348,3.27,0.6372153009956077,0.0565239305791984,6.000000000000005,0.4862911691609717,Material_Wood_raw_5,1286.5963190184004
1770944291.1891117,-1.85,0.41,3.74,1.8948878594787608,0.506654372412938,3.31,0.635379152828483,0.0577399142560603,6.000000000000005,0.4879321746597633,Material_Wood_raw_5,1286.5963190184118
1770944291.1891544,-1.86,0.42,3.79,1.9068298298484845,0.5031211943871478,3.34,0.6333201333579602,0.0587396411483985,6.000000000000005,0.4895949074077011,Material_Wood_raw_5,1171.5932960893813
1770944291.1950064,-1.88,0.43,3.84,1.928548677114477,0.5022260872105182,3.38,0.6312213925999998,0.0596299780992097,6.000000000000005,0.4912386807632026,Material_Wood_raw_5,8.544110816866949
1770944291.2059045,-1.89,0.44,3.89,1.9405411616350732,0.4988536408178489,3.4100000000000006,0.6292067201340419,0.0606559164323709,6.000000000000005,0.492693680416723,Material_Wood_raw_5,4.5879501203238044
1770944291.3058484,-1.9,0.45,3.94,1.9525624189766635,0.4955740922341551,3.44,0.6271653327768256,0.0616752674570702,6.000000000000005,0.4940399333968148,Material_Wood_raw_5,0.5002807762497149
1770944291.3059268,-1.92,0.46,4.0,1.9743353311937664,0.4935837094025143,3.48,0.6252075491551464,0.0627675223109801,6.000000000000005,0.4953641653936136,Material_Wood_raw_5,764.9186626139824
1770944291.3059702,-1.93,0.47,4.05,1.9864037857394448,0.4904699494492582,3.52,0.6231848806821499,0.0638091755490305,6.000000000000005,0.4964985005898886,Material_Wood_raw_5,1152.2813186813146
1770944291.3060095,-1.94,0.48,4.1,1.998499437077729,0.4874387682046246,3.5500000000000007,0.6211358508559881,0.0648371475673656,6.000000000000005,0.4975212907923145,Material_Wood_raw_5,1271.0012121212076
1770944291.306048,-1.96,0.5,4.15,2.0227703774773844,0.4874144313404706,3.5800000000000005,0.6190232327771374,0.0657121116051881,6.000000000000005,0.4986978746578884,Material_Wood_raw_5,1302.578881987596
