time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material,dFz_dt
1770938846.5335553,-0.7,0.47,2.24,0.8431488599292535,0.376405573001643,2.1899999999999995,0.3122989588661216,0.0471042238683196,4.000000000000004,0.2481227145960584,Material_POM_raw_7,0.0
1770938846.5444472,-0.71,0.48,2.27,0.8570297544426331,0.3775459810117409,2.2099999999999995,0.3123477008257036,0.047169147628808,4.000000000000004,0.2507622100714257,Material_POM_raw_7,2.7543367480955956
1770938846.555402,-0.71,0.5,2.31,0.8683893136145792,0.3759259470513558,2.24,0.3129126231046059,0.0475870693384231,4.000000000000004,0.25331862356039,Material_POM_raw_7,3.651348480891446
1770938846.6435971,-0.71,0.52,2.34,0.880056816347672,0.3760924958355454,2.26,0.3138784980292121,0.0478785184239535,4.000000000000004,0.2557942131714228,Material_POM_raw_7,0.3401550077449784
1770938846.6436725,-0.72,0.54,2.38,0.9,0.3781511016171842,2.29,0.3151755166758549,0.0478452721047018,4.000000000000004,0.258346800077126,Material_POM_raw_7,530.9245569620258
1770938846.6437156,-0.72,0.55,2.41,0.9060353193998564,0.3759481093160776,2.31,0.3166989521519721,0.0473278975799823,4.000000000000004,0.2606955570437071,Material_POM_raw_7,695.1885082872985
1770938846.6437554,-0.72,0.57,2.45,0.918313671900838,0.3748217539098302,2.33,0.3178119602676752,0.0473729321009516,4.000000000000004,0.2630959131168403,Material_POM_raw_7,1004.6237125748512
1770938846.6437936,-0.72,0.59,2.48,0.930859817588019,0.3753465492909151,2.35,0.3191329231950899,0.0471164256444909,4.000000000000004,0.2654180809862219,Material_POM_raw_7,786.4319999999949
1770938846.643831,-0.72,0.61,2.52,0.9436630754670864,0.3744693257927621,2.38,0.3206188628297088,0.0464908700376341,4.000000000000004,0.2676622968832999,Material_POM_raw_7,1068.6124840764342
1770938846.6438684,-0.72,0.62,2.56,0.9501578816175764,0.3711552775243354,2.4,0.3215353481022495,0.0465746528243881,4.000000000000004,0.2698956001747409,Material_POM_raw_7,1068.6124840764342
1770938846.643906,-0.72,0.64,2.6,0.9633275663033836,0.3705104599203552,2.42,0.3227559465292653,0.0462415426006216,4.000000000000004,0.2720570648062094,Material_POM_raw_7,1061.8491139240516
