time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material,dFz_dt
1770937944.3005571,-0.01,-0.04,2.22,0.0412310562561766,0.0185725394971338,0.9000000000000002,0.0204412699760274,0.0016955278802737,2.0000000000000018,0.00455152634937,Material_Metal_raw_14,0.0
1770937944.30064,-0.01,-0.04,2.23,0.0412310562561766,0.0184892546040008,0.8999999999999997,0.0203883974632315,0.0016729868333944,2.0000000000000018,0.0045828573102987,Material_Metal_raw_14,120.52597701149169
1770937944.3006854,-0.01,-0.04,2.24,0.0412310562561766,0.0184067133256532,0.91,0.0203346995376521,0.0016493875866605,2.0000000000000018,0.0046119742341565,Material_Metal_raw_14,220.75284210526826
1770937944.3007257,-0.01,-0.04,2.25,0.0412310562561766,0.0183249057472314,0.9099999999999996,0.0202819579010751,0.0016283517234605,2.0000000000000018,0.0046389188114155,Material_Metal_raw_14,248.18366863904797
1770937944.3007643,-0.01,-0.04,2.26,0.0412310562561766,0.0182438221293603,0.9099999999999996,0.0202301535062396,0.0016098586546769,2.0000000000000018,0.0046637286942641,Material_Metal_raw_14,258.90765432098215
1770937944.300805,-0.01,-0.04,2.28,0.0412310562561766,0.0180837886720999,0.9299999999999994,0.0201767487768316,0.0015914893581035,2.0000000000000018,0.0046864377858791,Material_Metal_raw_14,490.56187134502966
1770937944.3008456,-0.01,-0.04,2.29,0.0412310562561766,0.0180048201970988,0.9299999999999996,0.0201242767335845,0.0015756537024715,2.0000000000000018,0.0047070764918944,Material_Metal_raw_14,246.72376470588804
1770937944.300883,-0.01,-0.05,2.3,0.0509901951359278,0.0221696404201249,0.9399999999999996,0.0201134528925676,0.0015577466091803,2.0000000000000018,0.0049377452171596,Material_Metal_raw_14,267.15312101910257
1770937944.3009207,-0.01,-0.05,2.31,0.0509901951359278,0.0220736679923202,0.94,0.0201033665541012,0.0015416732973937,2.0000000000000018,0.0051508316977438,Material_Metal_raw_14,265.4622784810188
1770937944.310361,-0.01,-0.05,2.33,0.0509901951359278,0.0218841945286409,0.9500000000000004,0.0200930581103539,0.0015262073124701,2.0000000000000018,0.0053484378230701,Material_Metal_raw_14,2.1186028538956956
1770937944.3213148,-0.01,-0.05,2.34,0.0509901951359278,0.0217906723697673,0.9599999999999996,0.020081814445018,0.0015094255617298,2.0000000000000018,0.0055322226759121,Material_Metal_raw_14,0.9129165941145548
1770937944.4111648,-0.01,-0.05,2.35,0.0509901951359278,0.021697946143822,0.9600000000000004,0.0200712920801864,0.0014943800505144,2.0000000000000018,0.0057035225031876,Material_Metal_raw_14,0.1112966687717946
1770937944.4112737,-0.01,-0.05,2.36,0.0509901951359278,0.0216060057330178,0.96,0.0200614753231308,0.0014809816584239,2.0000000000000018,0.0058634316549887,Material_Metal_raw_14,91.77908096279891
1770937944.411335,-0.01,-0.05,2.38,0.0509901951359278,0.0214244427359181,0.98,0.0200498429361043,0.0014655821329651,2.0000000000000018,0.0060128589889456,Material_Metal_raw_14,326.4049805447474
1770937944.4113932,-0.01,-0.05,2.39,0.0509901951359278,0.0213348007536096,0.9800000000000004,0.0200389160913411,0.0014518233121437,2.0000000000000018,0.0061525682677259,Material_Metal_raw_14,171.89770491803677
1770937944.4114575,-0.01,-0.05,2.4,0.0509901951359278,0.0212459057875091,0.98,0.020028679696173,0.0014396170741924,2.0000000000000018,0.0062832077776384,Material_Metal_raw_14,155.3445925925893
1770937944.4115207,-0.01,-0.05,2.42,0.0509901951359278,0.0210703198618214,1.0,0.020016687441748,0.0014258291839309,2.0000000000000018,0.006405332488231,Material_Metal_raw_14,316.55124528301917
1770937944.411603,-0.01,-0.05,2.43,0.0509901951359278,0.0209836107622704,1.0000000000000002,0.0200053854060988,0.0014135880308919,2.0000000000000018,0.0065194209261608,Material_Metal_raw_14,121.57402898551005
1770937944.4116426,-0.01,-0.05,2.44,0.0509901951359278,0.0208976123927522,1.0,0.0199947590672386,0.0014028057889976,2.0000000000000018,0.006625888224231,Material_Metal_raw_14,252.66891566264522
1770937944.420014,-0.01,-0.05,2.46,0.0509901951359278,0.020727713174071,1.01,0.0199839482348904,0.0013929149686924,2.0000000000000018,0.0067250963507898,Material_Metal_raw_14,2.3891000227842354
1770937944.4309795,-0.01,-0.05,2.47,0.0509901951359278,0.0206437953409443,1.0200000000000002,0.019972298224211,0.0013824361325974,2.0000000000000018,0.0068173622255732,Material_Metal_raw_14,0.9119439914769849
1770937944.524546,-0.01,-0.05,2.48,0.0509901951359278,0.0205605542642635,1.02,0.0199613095549203,0.0013733191626186,2.0000000000000018,0.0069029642271856,Material_Metal_raw_14,0.10687595236032245
1770937944.5246232,-0.01,-0.05,2.5,0.0509901951359278,0.0203960698959431,1.03,0.0199501494709573,0.0013651821503799,2.0000000000000018,0.006982147459686,Material_Metal_raw_14,258.9076543209879
1770937944.5246725,-0.01,-0.05,2.51,0.0509901951359278,0.020314810685704,1.0399999999999998,0.0199381767948918,0.001356654900972,2.0000000000000018,0.0070551280495579,Material_Metal_raw_14,202.62338164250775
1770937944.524718,-0.01,-0.05,2.53,0.0509901951359278,0.020154219360359,1.0499999999999998,0.0199260517233944,0.0013492311529108,2.0000000000000018,0.0071220966760064,Material_Metal_raw_14,439.19413612565484
1770937944.5247583,-0.01,-0.05,2.54,0.0509901951359278,0.0200748720712818,1.05,0.0199145671865343,0.0013430134344702,2.0000000000000018,0.0071832214882299,Material_Metal_raw_14,248.183668639059
